time,joint1,joint2,joint3,joint4,joint5,joint6,gripper
0.0,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.1001,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0665,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0663,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0672,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0662,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0666,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0661,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0673,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0665,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0663,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0672,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0666,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0659,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0669,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0666,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0675,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0995,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0663,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0667,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0668,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0673,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0659,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0671,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0662,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0669,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0664,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0671,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0669,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0664,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0666,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0663,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0665,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.067,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0665,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0672,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0661,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0669,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0664,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0668,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0664,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
0.0668,-2.3562,-0.6155,-2.5,0.0,-0.3398,0.0,0.05
